location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
Golf Course Road,Penthouse,2,3,1228,10,31,1,6.14,1,1,1,5,47542012
DLF Phase 2,Apartment,4,5,2641,7,39,3,0.57,1,1,1,2,49714535
DLF Phase 1,Apartment,3,3,1417,20,3,3,6.25,1,1,1,5,30542578
DLF Phase 4,Apartment,5,5,3047,6,39,3,8.3,1,1,1,3,75609205
Golf Course Extension Road,Builder Floor,5,5,3606,15,38,3,2.36,0,1,1,1,72333756
Palam Vihar,Apartment,4,4,2016,15,35,1,2.84,1,0,0,2,37904678
DLF Phase 1,Apartment,5,5,2728,13,8,3,7.03,1,0,1,2,54904496
DLF Phase 1,Apartment,3,4,1395,14,1,2,5.21,1,1,0,1,29606021
Sohna Road,Villa,4,4,1640,19,5,3,6.67,0,0,1,5,35563091
Sector 92,Builder Floor,2,3,958,8,27,2,6.97,0,0,1,2,16848093
Sector 83,Apartment,3,3,2036,15,26,1,2.19,1,1,1,5,39949525
New Gurgaon,Builder Floor,4,5,2262,15,43,2,2.8,0,1,1,5,39638210
Sector 67,Apartment,3,4,1439,4,26,1,12.74,1,0,0,1,27654050
South City 1,Apartment,4,5,3620,2,11,2,2.52,1,0,1,3,71302080
South City 1,Villa,4,5,2007,20,34,2,10.02,0,1,1,3,41385942
Sector 85,Apartment,2,3,1374,24,41,1,6.34,1,1,1,5,25531923
Sector 92,Apartment,4,5,2586,12,2,4,14.53,1,1,1,1,46563182
Sector 56,Apartment,2,3,1269,7,21,3,1.08,1,0,1,3,30020650
Sector 65,Villa,2,2,687,16,26,3,12.47,1,1,1,5,15006062
DLF Phase 1,Builder Floor,3,3,2333,4,12,3,7.42,1,1,0,2,41836397
Sector 56,Builder Floor,2,3,1289,5,9,2,0.18,1,1,0,2,30590034
Sector 57,Builder Floor,3,3,2185,1,41,2,4.03,1,0,1,4,42210934
DLF Phase 3,Apartment,3,3,2278,21,23,1,6.17,1,0,1,4,50942493
Sector 89,Apartment,2,3,1679,13,42,3,4.78,0,1,0,4,26073318
Sector 57,Apartment,4,4,1840,24,5,3,5.5,1,1,1,3,35489620
Sector 56,Apartment,3,4,1498,3,9,2,13.76,1,1,0,2,32411382
Sector 89,Apartment,2,2,1037,2,10,3,5.48,0,1,0,2,21196593
Sector 83,Villa,2,3,957,8,10,2,6.34,1,1,1,3,20616982
Sector 85,Apartment,4,4,3140,17,14,2,11.44,1,0,1,2,51345123
Sector 70,Apartment,4,5,1838,11,36,4,11.93,0,1,0,2,39710117
DLF Phase 3,Apartment,2,2,1093,8,10,2,1.35,1,1,1,5,32632148
DLF Phase 2,Apartment,1,1,450,17,37,2,10.59,0,1,0,2,7443472
DLF Phase 1,Villa,4,4,2809,12,41,1,7.29,1,1,1,5,56397779
Sector 85,Apartment,3,4,1746,13,38,2,2.09,1,1,1,4,40696365
Sector 57,Apartment,2,3,1447,9,22,2,4.04,0,0,1,1,24157667
Sector 67,Builder Floor,3,3,2094,2,23,2,0.77,1,1,1,5,41090008
DLF Phase 2,Apartment,3,3,1110,6,16,2,5.47,1,1,0,2,26823313
Golf Course Extension Road,Apartment,4,5,2503,17,11,1,3.91,1,1,0,4,57587285
Sector 83,Apartment,2,2,894,15,35,2,5.79,1,0,0,1,19958462
New Gurgaon,Apartment,3,3,1859,16,20,3,8.75,1,0,1,1,35869157
Sector 89,Penthouse,2,3,1035,24,37,0,11.01,0,1,0,4,19314417
Sector 82,Builder Floor,5,6,4283,5,41,1,9.12,1,1,1,4,76822418
Palam Vihar,Apartment,4,4,3891,24,5,1,10.21,1,0,0,1,63914685
Sector 54,Builder Floor,4,5,2262,11,36,3,13.0,0,1,0,1,44005430
DLF Phase 1,Apartment,3,3,1841,18,13,2,13.12,0,0,1,2,32407774
New Gurgaon,Apartment,3,3,840,2,17,4,12.92,1,1,1,5,17718489
Golf Course Extension Road,Apartment,5,6,1848,2,26,2,2.38,1,0,0,5,59311417
Sector 92,Apartment,2,2,1308,17,44,2,3.84,1,1,1,1,24589549
Sohna Road,Apartment,4,5,2381,10,20,3,7.58,1,1,1,1,46567351
Sector 56,Apartment,2,3,1317,5,39,1,5.45,1,0,0,3,29042088
DLF Phase 5,Villa,2,2,976,18,33,1,2.06,0,1,1,1,36216063
Sector 57,Apartment,3,4,1927,4,30,2,4.39,1,0,1,5,35612044
DLF Phase 1,Apartment,4,4,983,12,16,1,14.63,1,1,1,2,22821422
DLF Phase 2,Apartment,4,5,2058,4,7,1,5.27,0,1,1,3,45938573
Sector 89,Apartment,3,3,1995,2,30,1,6.34,1,1,1,5,36380066
Sector 70,Apartment,3,4,2512,18,2,1,0.2,1,0,1,2,39175019
Sector 92,Apartment,5,5,2918,16,12,1,10.82,1,0,1,3,52637601
Sector 56,Builder Floor,2,2,1365,21,43,3,6.26,1,1,1,3,26135227
Sector 57,Apartment,4,5,2025,2,40,1,1.64,1,0,1,3,46357827
Sector 56,Apartment,3,3,1986,14,1,1,14.53,1,1,0,3,35604129
Golf Course Road,Apartment,3,3,1592,16,3,1,11.68,1,0,1,3,50294488
Sector 84,Apartment,1,1,873,12,8,2,10.92,1,0,1,3,10098199
Golf Course Road,Apartment,3,3,1661,13,26,2,14.37,0,0,0,4,50084305
DLF Phase 4,Builder Floor,2,2,1152,15,40,3,6.17,1,1,1,2,31597552
Sector 92,Apartment,2,2,1416,24,11,3,10.81,1,1,1,5,28017282
DLF Phase 3,Apartment,2,3,1340,10,21,1,3.17,1,0,1,1,32195647
South City 1,Apartment,3,4,1646,16,5,1,10.49,1,0,1,5,29145945
Sector 89,Apartment,3,4,1972,4,40,1,0.31,1,0,0,4,35184799
Sector 85,Apartment,4,5,1809,20,26,4,1.98,0,0,1,4,37089783
DLF Phase 4,Builder Floor,2,2,1263,14,21,2,6.44,1,1,0,3,39298102
Sohna Road,Apartment,3,3,2030,17,9,0,0.28,1,1,1,4,41479994
Sector 84,Builder Floor,3,4,1622,15,17,1,6.98,1,1,1,5,32301351
DLF Phase 5,Apartment,3,3,1644,13,37,2,7.89,1,1,1,4,48248169
Sector 67,Builder Floor,4,5,2047,13,2,1,9.36,1,1,1,5,44226774
DLF Phase 1,Apartment,3,3,1196,12,40,3,1.6,0,1,0,3,27063299
Sector 67,Builder Floor,4,4,2632,0,28,2,2.8,0,1,0,3,50695122
DLF Phase 4,Apartment,3,4,1600,5,27,2,9.24,1,1,1,4,46984840
Palam Vihar,Villa,3,3,2033,22,40,2,9.91,0,0,1,1,31602564
Sector 70,Apartment,3,4,1723,10,1,1,0.49,1,1,1,3,37216351
DLF Phase 3,Apartment,4,5,2744,10,11,2,8.15,1,1,1,2,61451207
DLF Phase 5,Apartment,5,6,1800,24,39,2,11.8,1,1,1,2,51534145
Golf Course Extension Road,Builder Floor,3,3,1318,15,18,1,1.13,1,1,1,3,39323447
DLF Phase 1,Apartment,4,4,1928,23,27,2,6.26,1,0,0,4,39884007
South City 1,Builder Floor,1,2,767,2,10,3,4.97,0,0,1,3,22286513
Sector 65,Apartment,4,4,2625,24,36,1,13.71,1,1,1,4,45758826
Sector 54,Apartment,2,3,1126,16,21,2,2.87,1,1,0,5,25252430
Sohna Road,Apartment,2,3,1066,21,28,1,4.84,1,1,1,1,18993748
Golf Course Road,Penthouse,1,1,683,13,1,2,13.49,0,0,0,1,31621567
Palam Vihar,Builder Floor,5,6,2587,1,14,0,5.03,1,0,1,5,54487916
DLF Phase 2,Villa,4,4,2811,24,20,2,8.02,1,1,1,5,55031635
Sector 89,Apartment,4,4,2279,8,9,1,0.59,0,1,1,5,49041014
Sector 92,Apartment,4,4,3124,7,27,1,14.78,1,1,0,1,56568638
Sector 92,Builder Floor,3,4,1403,10,4,2,12.39,1,1,1,3,26411764
Sector 70,Apartment,5,6,2910,6,37,2,9.55,1,1,0,2,58139912
DLF Phase 1,Villa,5,5,2356,21,18,3,1.01,1,1,1,4,53267520
Sector 56,Villa,3,3,2483,1,31,2,1.22,1,0,0,2,47535792
Sector 83,Villa,2,3,1205,3,39,2,8.22,1,0,0,4,26170147
DLF Phase 4,Builder Floor,3,3,1376,22,10,2,4.35,1,1,1,1,42579840
Sector 54,Apartment,5,5,2368,13,9,1,9.38,1,0,1,3,46137477
Sector 83,Apartment,4,5,2687,12,28,0,9.01,0,1,0,2,50173533
Sector 92,Penthouse,4,5,1381,21,28,1,12.6,0,1,1,5,28649946
DLF Phase 1,Apartment,5,6,2875,24,13,1,4.29,0,0,0,5,49001914
Sector 83,Builder Floor,4,4,1922,12,18,1,8.71,0,0,0,5,41435207
Sector 89,Builder Floor,4,5,2310,12,12,3,11.68,1,0,0,2,45620881
New Gurgaon,Builder Floor,3,4,1842,4,8,3,7.41,0,1,1,3,30667533
Palam Vihar,Penthouse,2,3,1172,11,23,3,12.48,1,0,1,3,14884864
Sector 57,Apartment,3,4,1688,5,5,4,2.06,1,0,0,5,34980781
Sector 57,Apartment,3,4,1869,21,7,2,11.04,1,1,0,2,35410305
Sector 57,Apartment,4,5,3379,13,15,1,14.15,0,0,1,5,56672017
Sector 84,Apartment,3,4,2335,7,3,2,5.05,1,0,1,4,41076870
Sector 65,Apartment,2,2,1105,23,18,3,5.56,0,0,1,4,19354850
Sector 67,Apartment,1,2,701,21,38,2,1.34,1,0,1,2,12236698
Sohna Road,Builder Floor,3,3,2083,7,26,2,9.66,1,1,1,4,38577671
Sector 83,Villa,3,3,1640,6,38,1,8.33,1,1,1,1,28729771
Sector 85,Apartment,2,3,1191,16,33,2,0.7,1,0,1,1,23666983
DLF Phase 1,Apartment,2,2,1350,20,21,1,11.31,1,1,1,1,22716085
DLF Phase 1,Villa,3,4,1493,10,17,1,12.46,1,0,0,4,24507137
Sector 65,Apartment,2,2,1132,9,43,3,13.62,0,1,1,3,22483800
Golf Course Road,Apartment,2,3,1144,12,2,1,8.23,1,1,1,1,42848317
Sector 57,Apartment,3,3,1686,9,25,4,6.84,1,1,0,5,31722378
South City 1,Apartment,3,4,1670,20,41,0,13.15,1,0,1,3,30515967
DLF Phase 5,Apartment,3,4,1985,13,19,3,6.04,1,0,1,2,54541395
Sector 83,Penthouse,2,2,1207,8,38,2,9.87,1,1,0,4,22001607
Sector 85,Apartment,4,4,2758,6,25,2,9.27,1,0,0,5,48775508
Sector 84,Apartment,3,4,2858,6,39,1,5.65,0,1,0,2,50793272
Sector 85,Apartment,2,2,1050,17,4,2,1.39,1,0,1,4,24578581
DLF Phase 1,Apartment,2,3,1260,15,3,3,0.42,0,0,1,4,24469655
Sector 89,Builder Floor,2,2,1342,7,34,1,6.48,0,1,1,5,23550414
Palam Vihar,Builder Floor,2,3,1505,15,42,1,7.27,1,1,0,4,29815684
Sohna Road,Builder Floor,1,1,660,18,10,1,12.36,0,1,1,4,10246101
DLF Phase 3,Apartment,3,4,1341,14,27,1,6.27,1,0,0,4,33187766
DLF Phase 5,Villa,3,3,1521,24,26,1,4.29,1,0,0,3,46717073
South City 1,Builder Floor,3,4,1861,14,27,2,6.99,1,1,1,1,33378560
Sohna Road,Builder Floor,4,4,2013,5,1,1,3.65,0,1,1,5,43996396
Sector 89,Apartment,1,2,450,8,44,2,1.46,0,1,1,3,5164699
Sector 85,Apartment,5,5,2435,14,20,3,1.78,1,1,0,5,50127782
Sector 85,Apartment,2,2,975,24,25,2,4.86,1,0,1,3,21401491
New Gurgaon,Builder Floor,3,4,1376,6,10,1,0.29,0,1,1,4,29397573
DLF Phase 1,Apartment,2,2,1907,7,1,2,3.38,0,1,1,4,33961114
Sector 82,Apartment,4,4,2576,17,16,1,11.83,0,1,0,3,43507348
Sector 85,Villa,3,4,1848,20,11,1,3.6,0,0,1,4,33598317
Golf Course Extension Road,Villa,2,3,1457,15,4,1,1.75,1,1,1,1,35032139
Sector 83,Villa,3,4,2555,14,35,3,14.24,1,1,1,5,41782852
Sector 83,Apartment,1,2,654,2,13,2,9.37,1,1,1,4,10440396
Sector 82,Builder Floor,4,4,2969,0,21,1,0.99,1,0,1,2,60331999
Golf Course Road,Apartment,3,3,1589,12,15,2,1.03,0,0,1,3,48944926
Sector 57,Apartment,2,2,946,21,10,1,9.22,1,1,1,3,15138487
Golf Course Extension Road,Apartment,3,4,2181,11,38,4,8.15,1,1,0,4,48465338
Sector 70,Apartment,1,1,724,8,11,4,1.12,0,0,0,3,18466370
Sector 54,Apartment,3,3,2134,1,32,1,3.44,1,0,1,2,39017551
New Gurgaon,Builder Floor,2,3,1235,8,33,1,13.94,1,1,1,3,19037318
Sector 83,Apartment,3,3,1472,7,20,2,8.62,1,1,1,2,27868229
Golf Course Road,Builder Floor,5,5,2663,24,36,2,6.66,1,0,1,3,69759029
Palam Vihar,Apartment,2,3,1523,4,30,1,3.83,1,0,1,3,32012302
Sector 83,Apartment,5,5,2586,12,10,2,2.09,1,1,0,2,51156822
Sector 92,Apartment,3,4,1878,1,15,1,6.1,0,0,1,5,33518595
Sector 83,Apartment,2,3,984,9,29,2,13.84,0,0,0,1,21843195
Sector 65,Apartment,3,3,1719,5,1,1,0.83,1,1,0,2,36242264
Sector 84,Apartment,4,4,1794,6,21,2,14.87,0,0,0,1,31885572
DLF Phase 5,Apartment,3,3,1768,2,15,2,3.2,1,0,1,3,54911725
Sector 67,Apartment,2,3,1066,13,3,2,6.19,1,1,1,5,17744909
Sohna Road,Apartment,2,3,722,15,33,2,0.77,0,1,0,2,10867225
DLF Phase 5,Villa,4,4,2766,5,38,2,8.81,1,0,1,5,66610923
Sector 65,Apartment,3,3,2055,21,19,1,7.3,1,0,1,2,38232700
Sector 57,Builder Floor,3,4,1823,7,4,1,10.03,0,0,1,4,38911924
DLF Phase 3,Builder Floor,2,2,885,0,12,1,8.19,1,0,1,2,25700340
DLF Phase 3,Villa,4,4,1778,19,25,1,6.03,1,1,0,1,45206854
DLF Phase 1,Builder Floor,5,6,4631,14,34,2,11.09,0,1,0,4,85087397
Palam Vihar,Apartment,1,1,450,16,17,1,0.47,0,1,0,3,10913730
Sector 85,Builder Floor,2,2,894,23,6,1,8.16,0,0,1,2,13431030
Sector 65,Villa,4,4,3603,17,12,3,1.8,0,0,1,1,65125105
Sector 57,Apartment,4,4,3779,23,15,2,6.6,0,0,0,3,65614635
Sector 57,Apartment,3,4,2513,2,17,2,11.89,1,0,1,1,42531963
Sector 85,Apartment,5,6,3372,23,1,1,2.22,0,0,1,3,54221650
Sector 85,Builder Floor,3,4,1532,5,14,1,14.04,0,0,1,2,26796770
Golf Course Extension Road,Builder Floor,2,3,728,16,2,2,13.34,0,1,1,5,26370590
DLF Phase 4,Apartment,4,4,2627,22,4,3,6.28,1,1,1,3,59953029
Sector 67,Apartment,3,3,1479,12,2,1,0.19,1,1,1,5,30356465
Sector 84,Apartment,5,5,4016,22,26,2,11.87,1,0,1,3,74709363
DLF Phase 2,Apartment,2,2,681,21,40,4,13.23,1,1,0,5,15159716
Sector 70,Penthouse,3,4,1884,16,33,2,2.7,1,0,1,2,32383262
DLF Phase 3,Apartment,4,4,2920,20,39,2,13.75,1,0,0,1,56218867
DLF Phase 5,Apartment,2,2,1483,15,6,2,13.72,0,0,1,2,44891249
Sector 70,Apartment,3,4,2150,16,30,3,7.12,0,0,1,3,38299740
DLF Phase 3,Builder Floor,4,5,2590,0,22,2,11.99,0,0,0,4,60110965
South City 1,Apartment,3,4,1853,15,27,3,6.73,1,0,0,1,35450850
Golf Course Extension Road,Builder Floor,3,3,2181,5,19,2,8.5,0,0,0,5,51449916
Sector 85,Apartment,4,5,2590,7,10,3,4.87,0,1,1,1,56906531
Sector 67,Apartment,2,2,1304,0,6,4,2.48,1,0,1,1,25391833
South City 1,Apartment,5,5,3024,1,26,2,11.22,1,0,1,2,54080402
Palam Vihar,Apartment,3,4,1638,14,42,2,0.12,1,1,0,3,33906282
Sector 56,Apartment,3,4,1233,4,3,2,8.74,1,0,0,2,26475099
Sector 67,Villa,3,4,1305,23,3,3,12.98,1,1,1,3,26876640
Sector 83,Builder Floor,5,5,2731,19,6,3,3.4,1,0,0,4,51583898
Sector 57,Penthouse,2,2,1166,14,10,0,5.06,1,1,0,2,20184071
DLF Phase 2,Apartment,2,2,929,20,38,2,8.85,1,1,1,4,21958424
South City 1,Penthouse,2,3,908,9,13,3,3.78,0,1,1,3,23039794
DLF Phase 5,Apartment,2,2,1097,4,38,2,12.73,1,0,1,1,38001596
Palam Vihar,Apartment,3,3,2178,2,12,2,5.56,0,1,0,4,41964729
Sector 84,Apartment,5,5,1515,5,27,0,8.77,1,1,0,4,37309223
South City 1,Apartment,4,4,1874,20,8,2,3.47,1,1,1,3,37911252
Palam Vihar,Builder Floor,2,3,1245,14,5,3,0.72,0,1,1,3,20971196
DLF Phase 4,Apartment,3,3,2340,17,36,3,2.69,1,1,1,2,50644478
Sector 84,Apartment,3,4,2707,13,38,1,0.79,0,1,1,2,50260163
Sector 57,Apartment,1,2,552,9,43,2,7.08,1,0,0,3,9739056
Sector 92,Apartment,4,4,2200,3,30,3,8.84,1,1,0,4,48470217
DLF Phase 2,Apartment,4,4,2322,10,37,3,0.77,0,1,1,5,42434851
Sector 85,Apartment,4,5,2527,19,29,2,1.45,1,1,1,2,49707506
New Gurgaon,Builder Floor,3,3,1781,6,22,0,7.33,0,1,1,3,30385748
Palam Vihar,Builder Floor,3,4,1848,14,14,2,12.01,1,1,1,5,35884757
Sector 54,Apartment,1,1,450,22,10,3,9.46,1,1,1,5,6683254
Sector 67,Apartment,3,3,1101,8,11,2,1.66,1,0,0,5,19666634
Sohna Road,Apartment,3,4,2100,14,35,3,13.32,1,0,1,5,40561086
DLF Phase 1,Builder Floor,4,4,2292,11,23,2,13.77,0,1,1,1,43627195
Sector 84,Apartment,4,5,2866,17,8,4,4.94,1,1,0,2,54570175
Sector 65,Apartment,5,6,3156,5,21,3,9.28,0,1,0,5,64574218
DLF Phase 4,Apartment,4,4,1597,17,37,2,7.44,1,0,1,5,51019785
New Gurgaon,Apartment,1,2,817,24,28,3,14.14,0,0,1,3,10322489
Sector 67,Apartment,3,3,1813,17,31,3,7.68,1,0,1,3,39878697
Sector 57,Villa,2,2,990,21,28,3,14.4,1,0,1,1,18553448
Golf Course Extension Road,Apartment,2,2,1050,23,42,2,3.07,0,0,1,5,28412715
South City 1,Apartment,3,4,1291,5,27,2,5.25,0,0,1,1,26562688
DLF Phase 5,Builder Floor,3,3,1939,14,40,1,11.74,0,0,1,3,50064148
DLF Phase 5,Builder Floor,3,3,1753,18,21,1,11.78,1,1,0,2,54937901
Sector 84,Apartment,1,2,882,4,9,2,11.01,0,1,0,4,18705537
Sector 57,Apartment,2,3,1345,3,29,2,12.91,0,0,1,4,25874359
Golf Course Road,Apartment,2,3,1748,16,15,1,10.57,1,1,1,1,50572330
Sector 89,Villa,2,3,930,20,33,3,9.58,0,1,1,3,23874470
Sector 83,Apartment,2,2,1107,9,37,2,6.94,1,1,1,4,26233624
New Gurgaon,Villa,3,3,2173,11,36,2,7.06,1,0,1,5,38810368
DLF Phase 2,Builder Floor,4,4,2729,4,28,2,6.15,1,0,0,2,51202127
Sector 56,Apartment,3,3,1793,6,10,1,9.34,1,0,1,3,35752976
Sector 83,Apartment,3,4,1347,11,23,3,6.16,0,0,0,1,24694628
DLF Phase 5,Apartment,2,3,590,22,28,1,2.3,0,1,1,3,29132742
Sector 82,Apartment,5,5,2846,1,34,2,1.69,1,0,0,2,62690870
Sector 67,Apartment,3,4,1725,19,5,2,13.87,0,1,0,3,30637956
Sector 67,Builder Floor,4,5,2471,16,18,2,0.47,1,0,1,1,46386284
Sector 67,Penthouse,5,6,1988,12,6,2,1.67,1,1,0,5,47065291
Sector 82,Apartment,4,5,1907,4,42,1,6.74,1,0,1,3,36772583
Sector 70,Builder Floor,2,3,1309,4,23,1,4.02,0,1,1,1,25593116
Sohna Road,Apartment,3,3,2045,19,28,2,6.15,1,1,1,5,41877502
Sector 54,Apartment,2,2,1256,11,41,3,1.85,1,1,0,4,20496733
Sector 85,Apartment,1,2,551,11,13,2,2.05,1,0,0,3,9557180
DLF Phase 4,Apartment,1,2,450,6,25,1,12.03,1,0,1,5,23954365
Sector 56,Villa,4,4,2934,5,7,1,11.41,1,0,0,4,50717269
DLF Phase 1,Builder Floor,4,4,2807,9,2,2,1.65,1,1,1,3,56966420
DLF Phase 5,Apartment,2,3,1039,18,16,2,10.05,1,0,0,3,40708331
Sector 67,Apartment,3,4,2149,15,2,1,9.18,1,1,1,2,40369025
DLF Phase 1,Apartment,5,6,2951,1,36,2,10.73,0,0,0,3,56413359
South City 1,Apartment,3,3,1513,3,2,1,7.17,0,0,1,3,34945846
Sohna Road,Builder Floor,3,4,2189,8,38,2,4.12,0,1,1,5,40587233
DLF Phase 3,Builder Floor,3,4,1842,4,10,1,9.99,0,0,1,1,44805173
DLF Phase 3,Apartment,4,5,2160,0,14,3,5.63,0,0,1,2,54736604
Golf Course Extension Road,Apartment,3,4,1261,10,27,1,3.36,1,1,0,3,38248368
DLF Phase 4,Apartment,4,5,1733,18,15,2,6.19,1,1,1,5,51355178
DLF Phase 3,Apartment,3,4,2155,24,21,4,11.47,1,0,1,5,45198832
Sector 82,Apartment,2,3,1326,22,12,1,7.19,0,0,0,1,25036345
Sohna Road,Apartment,2,3,872,2,43,2,4.57,1,1,0,4,14718159
DLF Phase 3,Builder Floor,2,2,867,0,33,1,12.49,1,1,0,3,28475916
Golf Course Extension Road,Builder Floor,3,3,2683,3,40,1,13.24,1,0,0,4,56337298
Sector 85,Apartment,2,2,1330,8,22,2,6.56,1,1,1,1,24758914
Sector 54,Apartment,4,5,3077,15,38,3,5.68,1,1,1,5,51255743
Sector 54,Apartment,3,3,2426,6,44,2,9.23,1,1,0,4,47221617
Sector 84,Apartment,4,4,1880,4,18,2,0.96,1,0,1,1,38747204
Golf Course Road,Builder Floor,5,5,4219,12,44,2,10.4,1,1,1,4,98788165
Sohna Road,Apartment,4,4,1796,10,2,2,11.76,1,0,0,5,36332578
DLF Phase 1,Apartment,5,5,3510,13,29,2,6.02,1,0,0,3,63426577
Sector 56,Apartment,3,4,1751,21,7,1,2.7,1,0,0,2,33696126
Sector 89,Villa,2,2,1402,16,31,1,0.53,0,0,1,5,22087376
DLF Phase 3,Apartment,5,6,2852,22,41,2,9.59,0,0,1,4,63274259
DLF Phase 4,Apartment,4,5,2707,11,18,3,4.11,0,1,1,3,62263140
Sector 54,Apartment,4,4,3162,20,9,1,7.01,0,1,1,2,51806395
Sector 82,Builder Floor,3,4,2270,22,8,2,5.86,1,0,1,1,38229543
DLF Phase 1,Villa,3,3,1774,20,33,1,2.71,0,0,1,3,30147099
Sector 57,Apartment,1,2,466,20,5,1,7.67,1,1,1,5,9896838
Sector 54,Villa,4,5,2233,18,14,2,6.95,0,1,1,4,38963812
Sector 89,Villa,2,2,1324,4,13,3,9.4,1,1,1,2,27637546
Sector 67,Villa,2,3,1382,23,11,2,3.85,0,1,1,3,31333598
Sector 83,Builder Floor,3,4,2249,7,20,1,3.3,1,1,1,2,45687949
DLF Phase 4,Builder Floor,3,4,1492,1,23,3,12.23,1,0,1,2,47202558
DLF Phase 1,Apartment,1,2,469,16,27,1,10.56,1,0,1,3,6612410
Sector 92,Builder Floor,4,5,1828,1,15,2,11.61,1,0,1,4,39417517
Sector 67,Apartment,4,5,2289,22,30,2,1.94,0,1,1,1,45196966
DLF Phase 1,Builder Floor,3,4,1889,2,16,2,3.44,1,1,1,3,42002834
DLF Phase 5,Apartment,3,4,1955,23,40,3,8.68,1,1,0,1,58114515
DLF Phase 5,Builder Floor,5,5,2009,19,18,2,12.87,0,1,1,2,56517965
Sector 70,Builder Floor,2,3,933,23,42,1,13.39,0,0,1,2,10754304
South City 1,Apartment,4,4,2006,17,23,1,12.5,0,1,1,4,39501889
Sector 70,Builder Floor,2,2,1692,14,36,1,0.75,1,0,1,3,29864396
Sohna Road,Apartment,3,4,1639,4,38,0,12.33,1,1,1,3,29577316
DLF Phase 4,Villa,3,4,1179,21,8,3,13.5,0,0,1,5,36585481
Golf Course Extension Road,Apartment,4,4,2613,16,39,1,0.95,1,0,1,4,58094219
Sector 92,Apartment,1,1,584,13,29,2,6.3,0,1,0,3,10803219
Sector 89,Villa,2,2,871,0,12,2,8.1,0,1,1,2,24914745
Sector 82,Apartment,3,4,1601,13,18,3,3.57,1,1,0,4,33202095
Palam Vihar,Villa,3,4,1656,8,19,2,7.8,1,0,1,5,32505197
DLF Phase 4,Apartment,3,4,1748,4,36,2,13.3,1,1,1,5,53362623
Sector 89,Apartment,2,2,1460,3,33,1,13.02,1,1,1,2,27548671
Sector 57,Apartment,3,4,2035,0,5,2,14.1,1,1,1,3,40833093
New Gurgaon,Apartment,2,3,1235,2,39,1,7.31,0,1,1,2,30277459
Sector 67,Apartment,2,3,1476,19,28,3,6.22,0,1,0,5,21219765
Sector 70,Apartment,3,4,1627,10,26,1,10.02,1,0,1,4,27826846
South City 1,Apartment,3,3,1495,15,43,1,6.31,1,0,1,3,28236005
Sector 70,Apartment,2,3,1286,10,21,2,0.72,0,1,1,2,29599148
Palam Vihar,Penthouse,2,3,1264,20,23,3,10.83,1,1,0,3,22087111
Sector 56,Penthouse,3,3,1180,9,21,2,4.29,1,0,0,4,28187573
Sector 83,Apartment,2,3,1618,11,11,1,0.83,1,0,1,5,26713705
DLF Phase 5,Builder Floor,3,3,1372,4,42,1,0.41,1,1,1,2,50686226
South City 1,Apartment,3,3,2022,9,39,1,13.98,0,0,1,5,36300239
Golf Course Road,Builder Floor,2,3,1354,23,16,2,3.86,0,0,0,2,42793938
DLF Phase 2,Builder Floor,1,1,450,12,33,2,6.77,1,1,1,3,13526700
Sector 67,Villa,4,5,2527,18,27,2,14.26,0,0,1,1,47252372
Sector 67,Apartment,3,3,2487,6,1,2,7.07,0,0,0,2,43831327
Sector 89,Builder Floor,3,3,1501,15,44,2,1.27,0,0,1,2,29004595
Sector 85,Apartment,3,4,1002,5,16,3,8.32,1,1,1,5,20658146
Sector 89,Penthouse,3,3,1750,9,5,1,1.41,0,0,1,1,32065761
DLF Phase 1,Apartment,5,6,3326,9,18,2,1.52,0,1,1,1,58994213
Sohna Road,Apartment,3,4,1763,10,41,2,12.79,0,1,1,1,32967819
Palam Vihar,Builder Floor,2,3,933,21,34,1,4.41,1,0,0,1,18348617
Sector 83,Builder Floor,3,4,1367,9,44,2,10.21,1,0,0,4,29766062
DLF Phase 2,Apartment,3,3,1118,24,25,1,7.68,0,1,0,3,21725294
Sohna Road,Villa,3,4,1012,13,42,1,3.41,1,0,1,2,28025534
Golf Course Road,Apartment,3,3,1655,14,34,2,7.82,1,1,0,3,49460964
Sector 83,Builder Floor,4,5,2637,6,15,1,1.13,1,0,1,3,51307202
South City 1,Apartment,3,3,1866,12,4,1,5.27,0,1,1,3,38742133
Sector 54,Apartment,2,2,1270,10,4,2,7.89,1,1,1,3,26231708
Sector 84,Apartment,2,2,1376,6,25,2,3.5,1,1,1,4,25801459
South City 1,Apartment,3,3,2349,10,41,1,9.94,0,0,0,5,43005101
Sector 89,Apartment,1,2,603,13,13,1,0.87,0,1,0,4,10613061
Sector 54,Apartment,2,3,1296,16,42,2,7.32,0,0,1,2,23241328
Sohna Road,Apartment,3,3,1947,15,25,2,10.75,1,1,1,1,37244412
Palam Vihar,Builder Floor,3,3,1861,0,3,3,6.51,1,1,0,5,33277000
DLF Phase 4,Villa,5,6,3013,8,35,1,13.13,0,0,0,2,73682609
Sector 54,Apartment,2,2,1228,8,9,1,9.52,0,1,1,1,24763072
Sohna Road,Apartment,2,2,1637,9,14,1,14.38,1,0,1,4,22620285
Sector 57,Apartment,2,3,1601,18,22,2,4.33,1,0,0,3,18003062
